,Trap,Latitude,Longitude,weight_1,weight_2
0,T002,41.95469,-87.800991,0.7245347987225268,0.27546520127747315
1,T007,41.994991,-87.769279,0.7461471131998717,0.25385288680012824
2,T015,41.974089,-87.824812,0.8464834180831929,0.153516581916807
3,T045,41.9216,-87.666455,0.3332606916749517,0.6667393083250482
4,T046,41.891118,-87.654491,0.23250049233585177,0.7674995076641483
5,T048,41.867108,-87.654224,0.16653013963686836,0.8334698603631315
6,T049,41.896282,-87.655232,0.24802625201283363,0.7519737479871664
7,T050,41.919343,-87.694259,0.34387971707552256,0.6561202829244775
8,T054,41.921965,-87.632085,0.3222582967096121,0.6777417032903879
9,T086,41.688324,-87.676709,0.08864396001820453,0.9113560399817955
10,T091,41.862292,-87.64886,0.15821257817706855,0.8417874218229314
11,T094,41.720848,-87.666014,0.06799918365123367,0.9320008163487663
12,T096,41.731922,-87.677512,0.05401793583243109,0.9459820641675688
13,T129,41.891126,-87.61156,0.24408764142804118,0.7559123585719588
14,T143,41.999129,-87.795585,0.8153884908129577,0.1846115091870424
15,T148,42.01743,-87.687769,0.621937022010928,0.37806297798907196
16,T153,41.907645,-87.760886,0.3807438559565457,0.6192561440434544
17,T159,41.732984,-87.649642,0.0710635152291845,0.9289364847708156
18,T009,41.981964,-87.812827,0.8313714896577808,0.16862851034221915
19,T011,41.944869,-87.832763,0.7807965414230874,0.21920345857691256
20,T016,42.011601,-87.811506,0.8616736642640103,0.1383263357359897
21,T019,41.94983,-87.698457,0.4653690621272205,0.5346309378727794
22,T025,41.979243,-87.750938,0.6663464113081629,0.33365358869183714
23,T028,41.986921,-87.689778,0.5631698257458341,0.436830174254166
24,T031,41.801498,-87.763416,0.00581990499096895,0.9941800950090309
25,T033,41.906638,-87.701431,0.29778109221387683,0.7022189077861233
26,T089,41.723195,-87.64997,0.07616076187329866,0.9238392381267012
27,T090,41.868077,-87.666901,0.16251418684668226,0.8374858131533177
28,T092,41.869216,-87.627561,0.18683439382741326,0.8131656061725867
29,T135,41.662014,-87.724608,0.10461350193502095,0.8953864980649789
30,T141,41.961743,-87.76007,0.6352279851150514,0.36477201488494865
31,T142,41.953067,-87.776792,0.6480284171289193,0.35197158287108066
32,T145,41.878114,-87.629798,0.20595634159837964,0.7940436584016204
33,T146,41.958271,-87.702575,0.5010365013181729,0.49896349868182716
34,T147,41.932094,-87.700117,0.4007253755728037,0.5992746244271964
35,T149,41.994469,-87.667736,0.5477324058895634,0.45226759411043654
36,T150,42.006858,-87.675919,0.584887822618766,0.41511217738123385
37,T151,41.916265,-87.800515,0.533642033573016,0.466357966426984
38,T152,41.846075,-87.716277,0.08203036216257727,0.9179696378374228
39,T154,41.918705,-87.752329,0.42314305250039475,0.5768569474996053
40,T158,41.682587,-87.707973,0.08555796314550455,0.9144420368544954
41,T162,41.725517,-87.614258,0.09948621659218128,0.9005137834078186
42,T218,41.948167,-87.730698,0.5151965999505547,0.48480340004944533
43,T220,41.963976,-87.69181,0.502596262811452,0.4974037371885481
44,T001,41.953705,-87.733974,0.5436280837921388,0.4563719162078612
45,T003,41.964242,-87.757639,0.6376044505683834,0.36239554943161656
46,T006,41.990284,-87.797127,0.8063288340331372,0.19367116596686287
47,T008,42.008314,-87.777921,0.786007524226415,0.21399247577358502
48,T012,41.991429,-87.747113,0.6868908576476574,0.31310914235234266
49,T034,41.843811,-87.686763,0.091721391417154,0.908278608582846
50,T037,41.921177,-87.79518,0.5464309033412745,0.4535690966587256
51,T040,41.852652,-87.719887,0.09917218730850318,0.9008278126914968
52,T043,41.857402,-87.694991,0.12040897538608054,0.8795910246139195
53,T047,41.868142,-87.696269,0.15198326661243278,0.8480167333875672
54,T051,41.846283,-87.656913,0.11855954425485762,0.8814404557451424
55,T085,41.721474,-87.648064,0.07837136382018728,0.9216286361798126
56,T088,41.869107,-87.696293,0.15507009920432485,0.8449299007956751
57,T161,41.719059,-87.675088,0.06438207091605871,0.9356179290839411
58,T219,41.966987,-87.674677,0.4875697884755414,0.5124302115244587
59,T013,41.923738,-87.785288,0.5320021399111916,0.46799786008880845
60,T014,41.970248,-87.787992,0.7378403911104634,0.2621596088895366
61,T018,42.010412,-87.66214,0.5720023322084796,0.4279976677915203
62,T030,41.89923,-87.716788,0.27727030057646207,0.7227296994235379
63,T084,41.692555,-87.598865,0.12450623696235787,0.8754937630376423
64,T144,41.94016,-87.794896,0.6452602502313715,0.35473974976862854
65,T160,41.903002,-87.688267,0.27611698143747915,0.7238830185625209
66,T005,41.942114,-87.776385,0.600160589555303,0.399839410444697
67,T017,41.960616,-87.777189,0.6772490923561559,0.32275090764384406
68,T044,41.883284,-87.705085,0.20514714124020134,0.7948528587597987
69,T095,41.704336,-87.703736,0.06545415601522969,0.9345458439847703
70,T004,41.962728,-87.748367,0.6094239379952536,0.39057606200474637
71,T035,41.836644,-87.677737,0.08425091662601593,0.915749083373984
72,T036,41.837085,-87.729384,0.05682415943195092,0.943175840568049
73,T039,41.911824,-87.726737,0.3458061442325105,0.6541938557674896
74,T060,41.823065,-87.678378,0.06284146527921991,0.93715853472078
75,T061,41.801179,-87.679447,0.0414747577405892,0.9585252422594107
76,T062,41.800737,-87.71188,0.01690983562492611,0.9830901643750738
77,T065,41.778297,-87.752411,0.0009110687388128514,0.9990889312611871
78,T066,41.77166,-87.703047,0.019123794655272825,0.9808762053447272
79,T067,41.759346,-87.745602,0.009664437149253163,0.9903355628507469
80,T069,41.768388,-87.678649,0.03661292070065452,0.9633870792993454
81,T070,41.797616,-87.797894,0.026047996336617158,0.9739520036633827
82,T071,41.781416,-87.776532,0.006004337377264814,0.9939956626227352
83,T073,41.773215,-87.60088,0.10471654725908033,0.8952834527409196
84,T074,41.822536,-87.666343,0.07269638827396918,0.9273036117260308
85,T075,41.799282,-87.585487,0.1293341443356228,0.8706658556643772
86,T076,41.794781,-87.615989,0.09788990360258559,0.9021100963974144
87,T077,41.778748,-87.586427,0.11923313085242762,0.8807668691475724
88,T079,41.766202,-87.562889,0.13685701374265816,0.8631429862573418
89,T080,41.754676,-87.612922,0.09322246652395487,0.9067775334760452
90,T081,41.821582,-87.627796,0.10768692930843542,0.8923130706915645
91,T082,41.803423,-87.642984,0.07680026366365005,0.92319973633635
92,T083,41.754292,-87.590773,0.11208696465697678,0.8879130353430232
93,T114,41.798697,-87.736812,0.004814954693194618,0.9951850453068054
94,T155,41.776156,-87.778927,0.008160321916064174,0.9918396780839359
95,T063,41.82561,-87.726549,0.03550158810586322,0.9644984118941369
96,T115,41.673408,-87.599862,0.13425719254369298,0.865742807456307
97,T138,41.726465,-87.585413,0.12034964354074475,0.8796503564592553
98,T200,41.678618,-87.559308,0.1537026784574142,0.8462973215425859
99,T206,41.737052,-87.543067,0.1506296169836509,0.849370383016349
100,T209,41.740641,-87.546587,0.14789493571745155,0.8521050642825484
101,T212,41.680946,-87.535198,0.16659995350534124,0.8334000464946587
102,T215,41.686398,-87.531635,0.16704077819609725,0.8329592218039028
103,T107,41.729669,-87.582699,0.12162144131632967,0.8783785586836703
104,T128,41.704572,-87.565666,0.1404275858842858,0.8595724141157142
105,T072,41.74785,-87.702716,0.030116980732828934,0.969883019267171
106,T078,41.775051,-87.655356,0.05530785385582064,0.9446921461441793
107,T097,41.644612,-87.604498,0.14953481613326852,0.8504651838667314
108,T099,41.733643,-87.55551,0.14151133682862957,0.8584886631713704
109,T100,41.717753,-87.531657,0.16039086720252457,0.8396091327974755
110,T102,41.750498,-87.605294,0.10009841224210532,0.8999015877578946
111,T103,41.702724,-87.536497,0.15987670772009394,0.8401232922799061
112,T027,41.984809,-87.728492,0.6301226645393067,0.36987733546069335
113,T156,41.772846,-87.740029,0.00359810640026364,0.9964018935997363
114,T157,41.825902,-87.667827,0.0757391458688867,0.9242608541311134
115,T221,41.659112,-87.538693,0.172454665389556,0.8275453346104439
116,T009,41.992478,-87.862995,0.9476764333303174,0.052323566669682645
117,T900,41.974689,-87.890615,0.9704148319978383,0.029585168002161686
118,T903,41.957799,-87.930995,0.9715938468796218,0.028406153120378176
119,T222,41.925198,-87.746381,0.4441140756962403,0.5558859243037598
120,T223,41.973845,-87.805059,0.7940499463952666,0.20595005360473337
121,T225,41.743402,-87.731435,0.023299666604977926,0.976700333395022
122,T227,41.728495,-87.600963,0.10822375342201623,0.8917762465779838
123,T224,41.947227,-87.671457,0.4231460892496944,0.5768539107503057
124,T226,41.793818,-87.654234,0.06065109964256775,0.9393489003574323
125,T229,41.753411,-87.639817,0.07087545576575185,0.9291245442342482
126,T230,41.904194,-87.756155,0.35253366785370815,0.6474663321462919
127,T228,41.951866,-87.725057,0.5183562820569322,0.48164371794306793
128,T232,41.912563,-87.668055,0.302993750691167,0.697006249308833
129,T035,41.763733,-87.742302,0.007377936818841147,0.9926220631811589
130,T231,41.98728,-87.666066,0.5291662164738606,0.4708337835261394
131,T235,41.776428,-87.627096,0.0811289171031773,0.9188710828968227
132,T233,42.009876,-87.807277,0.8518229210379786,0.14817707896202134
133,T236,41.994679,-87.770899,0.7494753044412604,0.25052469555873963
134,T237,41.738903,-87.695443,0.03966346803219594,0.9603365319678041
135,T238,41.753391,-87.707394,0.02448026344737147,0.9755197365526285
136,T094,41.71914,-87.669539,0.06724455012668719,0.9327554498733128
137,T054,41.925652,-87.63359,0.33303742918385953,0.6669625708161405
